"消防緊急救護急救處置","總次數","呼吸道處置","口咽呼吸道","鼻咽呼吸道","抽吸","鼻管","面罩","非再呼吸型面罩","BVM","SGA","氣管內管","霧化吸入型面罩","哈姆立克法","其他","創傷處置","頸圈","清洗傷口","包紮止血","長背板固定","鏟式擔架固定","KED固定","骨折固定","夾板固定","抽吸式護木","其他","心肺復甦術","自動心肺復甦機","CPR","使用AED/不建議電擊","使用AED/電擊","藥物處置","靜脈輸液","口服葡萄糖","建議給藥","其他處置","保暖"
"106年 1月/ 高雄市","30,412","1,656","8","4","12","379","487","305","257","197","-","-","3","4","9,240","452","4,052","3,688","535","-","36","-","241","235","1","434","-","216","181","37","170","100","62","-","18,912","2,104"
"106年 1月/ 宜蘭縣","4,791","395","8","2","4","41","214","29","56","41","-","-","-","-","1,408","70","595","510","140","-","5","-","55","31","2","105","-","52","41","12","4","-","4","-","2,879","1,047"
"106年 1月/ 新竹縣","4,332","368","5","2","1","45","161","59","55","40","-","-","-","-","1,349","65","556","527","135","-","10","-","10","46","-","92","-","47","41","4","16","4","10","-","2,507","934"
"106年 1月/ 苗栗縣","5,376","499","-","4","2","71","283","38","55","44","-","-","2","-","1,487","98","565","545","183","-","5","-","48","42","1","105","-","53","44","8","16","4","11","-","3,269","1,572"
"106年 1月/ 彰化縣","14,279","1,014","14","11","5","128","523","60","158","108","-","-","2","5","4,383","254","1,783","1,776","367","-","14","-","159","30","-","291","-","143","140","8","106","18","83","-","8,485","3,618"
"106年 1月/ 南投縣","4,713","433","6","4","9","64","225","51","38","36","-","-","-","-","1,441","101","582","545","138","-","12","-","33","30","-","76","-","37","36","3","17","4","13","-","2,746","878"
"106年 1月/ 雲林縣","7,663","602","3","2","4","77","275","55","94","86","-","-","1","5","2,338","391","824","785","226","-","9","-","45","40","18","175","-","88","80","7","38","26","9","-","4,510","1,935"
"106年 1月/ 嘉義縣","5,172","390","5","-","6","64","215","35","37","27","-","-","1","-","1,339","79","547","508","115","-","5","-","39","46","-","81","-","37","37","7","35","-","34","-","3,327","1,531"
"106年 1月/ 屏東縣","10,159","751","7","4","7","164","326","57","102","82","-","-","2","-","3,147","250","1,247","1,166","328","-","21","-","67","68","-","184","-","99","74","11","23","7","14","-","6,054","2,228"
"106年 1月/ 臺東縣","3,476","264","3","3","1","51","134","36","30","6","-","-","-","-","1,071","110","377","372","158","-","3","-","24","27","-","52","-","27","20","5","51","42","8","-","2,038","340"
"106年 1月/ 花蓮縣","4,645","362","4","1","6","48","101","112","46","41","-","-","2","1","1,253","164","449","423","154","-","13","-","39","11","-","89","-","43","36","10","19","7","9","-","2,922","734"
"106年 1月/ 澎湖縣","788","66","1","-","-","16","36","7","3","3","-","-","-","-","178","15","70","59","26","-","2","-","-","6","-","8","-","4","3","1","-","-","-","-","536","242"
"106年 1月/ 基隆市","2,903","286","22","3","1","48","138","11","45","16","-","-","1","1","734","27","325","293","45","-","3","-","17","24","-","83","-","41","34","8","13","1","10","-","1,787","585"
"106年 1月/ 新竹市","3,118","259","2","3","5","32","88","46","44","39","-","-","-","-","1,070","56","515","392","94","-","1","-","6","6","-","86","-","40","39","7","31","7","23","-","1,672","282"
"106年 1月/ 嘉義市","3,070","188","4","3","1","25","83","16","32","24","-","-","-","-","909","46","406","361","52","-","-","-","19","25","-","56","-","29","22","5","13","4","8","-","1,904","860"
"106年 1月/ 金門縣","691","65","1","1","1","21","15","8","11","7","-","-","-","-","249","21","89","88","33","-","1","-","5","11","1","15","-","7","7","1","-","-","-","-","362","79"
"106年 1月/ 連江縣","10","4","-","-","-","-","4","-","-","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","2"
"106年 1月/ 基隆港","50","5","-","-","-","-","3","2","-","-","-","-","-","-","21","2","7","6","5","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","24","11"
"106年 1月/ 臺中港","70","8","-","-","-","1","4","3","-","-","-","-","-","-","34","3","11","10","6","-","1","-","1","2","-","-","-","-","-","-","-","-","-","-","28","11"
"106年 1月/ 高雄港","67","7","-","-","-","3","2","1","1","-","-","-","-","-","19","-","9","8","2","-","-","-","-","-","-","1","-","-","1","-","-","-","-","-","40","16"
"106年 1月/ 花蓮港","13","-","-","-","-","-","-","-","-","-","-","-","-","-","9","1","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","-"
"106年 2月/ 區域別總計","195,690","15,957","290","181","130","2,396","6,566","2,336","2,296","1,485","-","-","58","218","55,980","3,382","23,776","21,891","4,096","-","160","-","1,124","1,260","291","3,690","-","1,843","1,604","243","1,873","1,113","582","-","118,190","35,578"
"106年 2月/ 新北市","29,246","2,157","55","81","18","233","752","452","357","134","-","-","34","41","8,746","462","4,024","3,352","432","-","35","-","111","330","-","378","-","189","162","27","824","640","87","-","17,141","3,572"
"106年 2月/ 臺北市","17,656","1,716","22","9","22","198","744","277","291","127","-","-","3","23","4,923","393","2,027","2,021","239","-","8","-","72","162","1","350","-","186","138","26","192","105","79","-","10,475","1,483"
"106年 2月/ 桃園市","17,302","1,803","54","17","5","250","911","140","165","136","-","-","1","124","4,470","226","1,873","1,836","256","-","11","-","99","-","169","281","-","147","120","14","171","72","99","-","10,577","4,090"
"106年 2月/ 臺中市","24,835","1,915","35","32","10","337","670","339","262","227","-","-","3","-","7,257","212","3,228","3,001","531","-","4","-","195","52","34","438","-","219","198","21","46","3","36","-","15,179","6,484"
"106年 2月/ 臺南市","16,103","1,317","8","4","9","267","495","232","173","108","-","-","-","21","5,625","336","2,434","2,267","341","-","12","-","43","139","53","326","-","146","153","27","100","48","40","-","8,735","2,891"
"106年 2月/ 高雄市","26,506","1,511","6","5","13","326","436","327","226","165","-","-","4","3","7,504","388","3,288","2,928","474","-","19","-","204","200","3","373","-","183","171","19","156","103","38","-","16,962","1,987"
"106年 2月/ 宜蘭縣","4,056","349","9","2","3","43","172","30","54","35","-","-","1","-","1,183","83","478","410","134","-","6","-","43","26","3","98","-","51","42","5","-","-","-","-","2,426","881"
"106年 2月/ 新竹縣","3,898","328","8","2","2","37","153","55","39","32","-","-","-","-","1,217","55","504","482","121","-","8","-","11","36","-","80","-","41","34","5","21","6","13","-","2,252","875"
"106年 2月/ 苗栗縣","4,806","509","8","-","6","64","298","29","64","38","-","-","-","2","1,198","70","471","440","154","-","1","-","24","31","7","108","-","54","49","5","19","4","13","-","2,972","1,444"
"106年 2月/ 彰化縣","12,099","992","16","10","6","106","504","64","162","118","-","-","5","1","3,309","198","1,344","1,337","287","-","9","-","101","33","-","301","-","150","143","8","89","21","64","-","7,408","3,172"
"106年 2月/ 南投縣","4,035","412","4","1","9","55","206","34","55","45","-","-","3","-","1,121","75","447","432","114","-","10","-","20","23","-","108","-","51","49","8","19","9","10","-","2,375","823"
"106年 2月/ 雲林縣","6,147","478","6","1","5","60","226","32","76","71","-","-","-","1","1,739","282","603","578","178","-","6","-","37","35","20","143","-","72","54","17","31","22","6","-","3,756","1,618"
"106年 2月/ 嘉義縣","4,944","377","13","3","4","70","172","45","44","25","-","-","1","-","1,156","69","469","437","108","-","10","-","27","36","-","91","-","45","32","14","46","6","33","-","3,274","1,509"
"106年 2月/ 屏東縣","8,434","767","11","4","5","165","292","83","117","88","-","-","1","1","2,351","183","920","861","251","-","10","-","59","67","-","219","-","113","98","8","39","9","20","-","5,058","1,837"
"106年 2月/ 臺東縣","2,666","250","3","3","5","39","90","31","52","27","-","-","-","-","747","82","249","241","121","-","2","-","24","28","-","105","-","52","37","16","57","44","10","-","1,507","273"
"106年 2月/ 花蓮縣","4,021","341","8","-","5","39","117","93","46","31","-","-","1","1","1,036","149","358","341","147","-","6","-","21","14","-","73","-","37","30","6","24","16","4","-","2,547","698"
"106年 2月/ 澎湖縣","767","70","-","-","1","14","31","9","7","8","-","-","-","-","142","14","52","46","25","-","-","-","-","5","-","19","-","9","7","3","2","-","2","-","534","254"
"106年 2月/ 基隆市","2,478","226","21","-","-","33","110","8","39","14","-","-","1","-","560","16","255","240","27","-","-","-","8","14","-","72","-","36","30","6","9","2","5","-","1,611","571"
"106年 2月/ 新竹市","2,497","215","2","2","1","21","79","36","41","33","-","-","-","-","810","37","385","300","76","-","-","-","6","6","-","77","-","37","36","4","21","3","17","-","1,374","241"
"106年 2月/ 嘉義市","2,484","152","1","3","1","21","81","9","19","17","-","-","-","-","632","27","276","259","41","-","1","-","14","14","-","34","-","17","15","2","7","-","6","-","1,659","756"
"106年 2月/ 金門縣","460","51","-","1","-","14","15","8","7","6","-","-","-","-","153","12","58","53","23","-","-","-","1","5","1","14","-","7","5","2","-","-","-","-","242","65"
"106年 2月/ 連江縣","43","5","-","-","-","1","4","-","-","-","-","-","-","-","9","-","2","3","3","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","29","15"
"106年 2月/ 基隆港","66","6","-","1","-","-","4","-","-","-","-","-","-","-","24","4","8","7","4","-","-","-","1","-","-","2","-","1","1","-","-","-","-","-","34","14"
"106年 2月/ 臺中港","30","4","-","-","-","-","2","2","-","-","-","-","-","-","12","4","3","3","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14","6"
"106年 2月/ 高雄港","103","6","-","-","-","3","2","1","-","-","-","-","-","-","52","4","19","16","7","-","2","-","1","3","-","-","-","-","-","-","-","-","-","-","45","17"
"106年 2月/ 花蓮港","8","-","-","-","-","-","-","-","-","-","-","-","-","-","4","1","1","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","4","2"
"106年 3月/ 區域別總計","209,863","16,633","251","218","133","2,628","6,952","2,398","2,295","1,464","-","-","66","228","62,766","3,742","26,826","24,786","4,155","-","191","-","1,320","1,413","333","3,600","-","1,799","1,570","231","1,965","1,228","558","-","124,899","35,910"
"106年 3月/ 新北市","31,873","2,431","49","89","16","289","872","490","400","148","-","-","41","37","9,491","517","4,368","3,678","408","-","38","-","121","361","-","408","-","204","168","36","916","706","96","-","18,627","3,562"
"106年 3月/ 臺北市","19,622","1,744","19","15","11","231","773","260","282","126","-","-","2","25","5,890","503","2,439","2,419","266","-","4","-","54","197","8","323","-","167","133","23","216","118","89","-","11,449","1,437"
"106年 3月/ 桃園市","18,646","2,013","48","27","5","261","1,032","191","171","135","-","-","3","140","4,870","214","2,041","2,012","249","-","9","-","129","-","216","290","-","154","119","17","149","72","77","-","11,324","4,356"
"106年 3月/ 臺中市","26,884","1,982","35","37","12","376","681","336","288","213","-","-","2","2","8,128","275","3,601","3,364","573","-","9","-","205","75","26","434","-","218","199","17","44","6","34","-","16,296","6,862"
"106年 3月/ 臺南市","16,236","1,338","9","4","14","252","550","228","165","101","-","-","-","15","6,057","381","2,622","2,452","377","-","3","-","40","142","40","320","-","152","139","29","73","43","22","-","8,448","2,607"
"106年 3月/ 高雄市","28,775","1,498","5","9","15","328","415","293","246","182","-","-","3","2","9,191","445","4,044","3,633","511","-","25","-","289","243","1","400","-","195","182","23","151","114","23","-","17,535","1,603"
"106年 3月/ 宜蘭縣","4,294","385","8","2","6","49","167","46","63","44","-","-","-","-","1,302","79","542","460","135","-","8","-","47","26","5","107","-","53","47","7","5","1","3","-","2,495","866"
"106年 3月/ 新竹縣","3,868","318","6","3","5","48","144","57","30","23","-","-","2","-","1,180","49","496","472","92","-","7","-","11","53","-","57","-","29","25","3","31","13","15","-","2,282","856"
"106年 3月/ 苗栗縣","4,908","468","2","1","1","60","281","38","52","32","-","-","1","-","1,211","65","475","450","140","-","4","-","37","36","4","92","-","46","39","7","16","4","10","-","3,121","1,496"
"106年 3月/ 彰化縣","13,011","949","15","11","9","137","471","60","144","98","-","-","1","3","3,783","205","1,552","1,534","312","-","11","-","119","50","-","277","-","138","129","10","104","22","77","-","7,898","3,331"
"106年 3月/ 南投縣","4,035","412","4","1","9","55","206","34","55","45","-","-","3","-","1,121","75","447","432","114","-","10","-","20","23","-","108","-","51","49","8","19","9","10","-","2,375","823"
"106年 3月/ 雲林縣","6,891","542","2","3","8","68","255","49","80","75","-","-","1","1","1,984","308","702","671","182","-","11","-","48","42","20","152","-","76","69","7","34","26","8","-","4,179","1,775"
"106年 3月/ 嘉義縣","5,000","393","7","2","3","85","173","47","42","34","-","-","-","-","1,192","76","481","455","104","-","7","-","37","32","-","96","-","50","34","12","43","5","31","-","3,276","1,508"
"106年 3月/ 屏東縣","8,517","710","12","7","7","142","316","55","90","78","-","-","2","1","2,702","220","1,069","993","257","-","17","-","80","55","11","186","-","95","81","10","47","19","26","-","4,872","1,706"
"106年 3月/ 臺東縣","2,970","263","2","4","3","53","110","33","37","20","-","-","-","1","758","75","270","265","104","-","5","-","17","22","-","62","-","30","24","8","57","48","9","-","1,830","316"
"106年 3月/ 花蓮縣","4,079","361","4","1","2","52","111","97","52","42","-","-","-","-","944","110","348","339","108","-","15","-","22","2","-","90","-","44","42","4","23","13","5","-","2,661","714"
"106年 3月/ 澎湖縣","918","92","-","-","1","27","42","7","7","7","-","-","1","-","201","15","75","72","29","-","1","-","-","9","-","16","-","9","6","1","3","-","3","-","606","280"
"106年 3月/ 基隆市","2,953","257","18","-","1","35","145","10","32","15","-","-","1","-","733","24","330","314","36","-","3","-","13","13","-","66","-","33","29","4","9","1","7","-","1,888","710"
"106年 3月/ 新竹市","2,834","247","-","1","4","35","94","48","35","28","-","-","2","-","1,025","52","493","382","87","-","1","-","5","5","-","70","-","32","36","2","16","4","10","-","1,476","178"
"106年 3月/ 嘉義市","2,717","149","5","-","-","27","74","11","19","12","-","-","1","-","743","37","335","301","43","-","-","-","14","13","-","32","-","16","14","2","5","2","3","-","1,788","791"
"106年 3月/ 金門縣","557","55","1","-","1","15","24","4","4","5","-","-","-","1","171","8","66","63","14","-","1","-","7","10","2","12","-","6","6","-","3","2","-","-","316","71"
"106年 3月/ 連江縣","52","6","-","-","-","1","5","-","-","-","-","-","-","-","9","-","5","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","37","14"
"106年 3月/ 基隆港","68","7","-","1","-","-","4","2","-","-","-","-","-","-","27","3","9","7","4","-","1","-","2","1","-","-","-","-","-","-","-","-","-","-","34","13"
"106年 3月/ 臺中港","55","8","-","-","-","1","4","1","1","1","-","-","-","-","22","3","7","6","4","-","-","-","1","1","-","2","-","1","-","1","-","-","-","-","23","10"
"106年 3月/ 高雄港","95","5","-","-","-","1","3","1","-","-","-","-","-","-","28","3","8","7","6","-","1","-","1","2","-","-","-","-","-","-","1","-","-","-","61","24"
"106年 3月/ 花蓮港","5","-","-","-","-","-","-","-","-","-","-","-","-","-","3","-","1","1","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","2","1"
"106年 4月/ 區域別總計","200,346","15,250","203","221","129","2,538","6,351","2,143","2,093","1,320","-","-","53","199","64,053","3,759","27,555","25,485","4,166","-","166","-","1,297","1,292","333","3,222","-","1,609","1,383","230","1,949","1,281","497","-","115,872","31,158"
"106年 4月/ 新北市","30,253","2,195","52","96","12","276","780","420","367","119","-","-","37","36","9,668","530","4,439","3,725","443","-","30","-","129","372","-","354","-","177","139","38","946","745","91","-","17,090","2,776"
"106年 4月/ 臺北市","18,326","1,651","17","10","26","208","719","261","276","111","-","-","3","20","5,833","458","2,448","2,410","257","-","4","-","63","189","4","317","-","163","138","16","211","134","65","-","10,314","1,089"
"106年 4月/ 桃園市","17,776","1,812","26","18","5","251","964","141","154","134","-","-","3","116","5,204","242","2,179","2,153","253","-","9","-","149","-","219","277","-","146","115","16","155","75","80","-","10,328","3,688"
"106年 4月/ 臺中市","25,793","1,811","31","37","11","327","645","287","258","208","-","-","5","2","8,310","281","3,685","3,444","586","-","5","-","208","82","19","403","-","201","171","31","47","7","37","-","15,222","6,237"
"106年 4月/ 臺南市","15,856","1,206","3","7","11","252","452","223","145","95","-","-","-","18","6,294","369","2,747","2,598","357","-","8","-","48","126","41","261","-","127","114","20","96","63","29","-","7,999","2,273"
"106年 4月/ 高雄市","26,845","1,348","7","8","14","327","395","255","198","141","-","-","2","1","8,707","414","3,870","3,506","494","-","15","-","208","196","4","314","-","153","138","23","140","118","10","-","16,336","1,354"
"106年 4月/ 宜蘭縣","3,958","310","6","3","6","46","149","33","39","28","-","-","-","-","1,365","74","590","501","120","-","5","-","46","27","2","69","-","36","24","9","6","1","5","-","2,208","664"
"106年 4月/ 新竹縣","3,870","321","3","1","-","52","125","50","47","43","-","-","-","-","1,259","56","526","507","115","-","12","-","8","35","-","94","-","47","36","11","29","8","21","-","2,167","706"
"106年 4月/ 苗栗縣","5,038","479","3","1","3","65","273","41","56","37","-","-","-","-","1,400","98","537","518","178","-","-","-","28","37","4","97","-","50","44","3","17","7","8","-","3,045","1,454"
"106年 4月/ 彰化縣","12,740","904","11","17","12","137","435","62","131","95","-","-","1","3","3,981","220","1,654","1,637","296","-","12","-","143","19","-","248","-","122","114","12","67","13","52","-","7,540","3,149"
"106年 4月/ 南投縣","3,976","361","-","2","4","63","179","41","39","32","-","-","1","-","1,267","87","513","498","125","-","4","-","27","13","-","80","-","38","38","4","19","7","12","-","2,249","657"
"106年 4月/ 雲林縣","6,608","478","5","1","4","69","241","42","61","53","-","-","-","2","2,061","341","726","696","166","-","5","-","42","58","27","110","-","55","49","6","29","19","8","-","3,930","1,610"
"106年 4月/ 嘉義縣","4,676","322","3","1","3","64","151","36","38","26","-","-","-","-","1,183","52","511","472","78","-","6","-","24","40","-","85","-","40","43","2","15","2","10","-","3,071","1,394"
"106年 4月/ 屏東縣","8,467","709","7","7","8","163","282","52","103","87","-","-","-","-","2,672","211","1,086","994","268","-","26","-","77","-","10","199","-","101","85","13","36","13","18","-","4,851","1,709"
"106年 4月/ 臺東縣","3,067","261","2","5","2","42","114","40","37","18","-","-","-","1","932","87","340","333","112","-","7","-","23","30","-","67","-","33","25","9","54","42","6","-","1,753","243"
"106年 4月/ 花蓮縣","3,803","312","6","3","5","54","98","79","37","29","-","-","1","-","989","111","374","353","104","-","9","-","24","14","-","65","-","31","31","3","28","18","6","-","2,409","621"
"106年 4月/ 澎湖縣","938","86","-","-","-","30","30","9","11","6","-","-","-","-","271","22","108","96","34","-","-","-","-","11","-","20","-","10","6","4","-","-","-","-","561","245"
"106年 4月/ 基隆市","2,566","228","15","1","1","29","123","7","36","16","-","-","-","-","693","15","314","298","35","-","1","-","18","12","-","57","-","29","25","3","10","2","6","-","1,578","466"
"106年 4月/ 新竹市","2,635","214","4","-","2","34","72","43","34","25","-","-","-","-","997","42","477","373","78","-","3","-","12","12","-","65","-","30","31","4","36","4","29","-","1,323","91"
"106年 4月/ 嘉義市","2,425","163","2","3","-","31","83","13","18","13","-","-","-","-","702","27","336","281","32","-","1","-","15","10","-","30","-","15","12","3","6","1","4","-","1,524","638"
"106年 4月/ 金門縣","504","68","-","-","-","16","34","7","7","4","-","-","-","-","175","15","64","62","23","-","2","-","1","6","2","9","-","4","5","-","1","1","-","-","251","44"
"106年 4月/ 連江縣","39","3","-","-","-","1","1","-","1","-","-","-","-","-","8","1","2","1","2","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","28","12"
"106年 4月/ 基隆港","50","1","-","-","-","-","1","-","-","-","-","-","-","-","19","1","8","7","1","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","30","11"
"106年 4月/ 臺中港","61","5","-","-","-","1","3","1","-","-","-","-","-","-","25","2","8","8","5","-","-","-","1","1","-","1","-","1","-","-","-","-","-","-","30","14"
"106年 4月/ 高雄港","67","2","-","-","-","-","2","-","-","-","-","-","-","-","33","3","11","12","4","-","-","-","-","2","1","-","-","-","-","-","1","1","-","-","31","12"
"106年 4月/ 花蓮港","9","-","-","-","-","-","-","-","-","-","-","-","-","-","5","-","2","2","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","4","1"
"106年 5月/ 區域別總計","207,618","15,550","246","199","143","2,778","6,486","2,151","2,007","1,279","-","-","28","233","68,229","3,662","29,452","27,342","4,130","-","233","-","1,586","1,462","362","3,101","-","1,546","1,359","196","1,923","1,263","504","-","118,815","30,333"
"106年 5月/ 新北市","31,099","2,149","56","85","13","313","749","375","344","154","-","-","19","41","10,478","524","4,877","4,085","411","-","29","-","123","388","41","322","-","161","126","35","919","721","95","-","17,231","2,629"
"106年 5月/ 臺北市","19,336","1,714","12","12","25","244","783","257","243","102","-","-","1","35","6,226","448","2,650","2,635","238","-","7","-","54","190","4","277","-","141","119","17","228","146","79","-","10,891","988"
"106年 5月/ 桃園市","18,429","1,877","48","23","12","272","972","146","151","118","-","-","1","134","5,494","242","2,325","2,307","263","-","14","-","133","-","210","261","-","136","113","12","149","68","81","-","10,648","3,494"
"106年 5月/ 臺中市","26,987","1,868","25","33","16","427","659","275","241","191","-","-","1","-","8,922","293","4,003","3,694","596","-","9","-","221","86","20","387","-","189","181","17","57","3","46","-","15,753","6,376"
"106年 5月/ 臺南市","15,879","1,260","6","8","13","253","491","248","144","83","-","-","1","13","6,557","359","2,874","2,677","381","-","5","-","61","149","51","270","-","131","120","19","79","48","28","-","7,713","2,020"
"106年 5月/ 高雄市","27,908","1,466","9","7","6","361","398","325","215","143","-","-","-","2","9,078","395","4,087","3,700","440","-","16","-","234","205","1","352","-","174","153","25","144","118","11","-","16,868","1,200"
"106年 5月/ 宜蘭縣","4,131","327","5","2","4","37","146","36","54","43","-","-","-","-","1,393","85","592","486","131","-","7","-","52","29","11","86","-","46","35","5","2","-","2","-","2,323","686"
"106年 5月/ 新竹縣","4,109","311","7","1","4","47","131","42","42","35","-","-","2","-","1,464","59","612","585","124","-","10","-","14","60","-","86","-","43","39","4","25","14","10","-","2,223","722"
"106年 5月/ 苗栗縣","4,883","399","7","3","1","56","228","33","45","26","-","-","-","-","1,399","84","568","547","135","-","-","-","26","38","1","71","-","36","33","2","24","10","13","-","2,990","1,422"
"106年 5月/ 彰化縣","13,082","926","15","10","8","159","459","55","129","86","-","-","1","4","4,103","206","1,731","1,721","285","-","9","-","124","27","-","228","-","111","112","5","86","20","61","-","7,739","3,165"
"106年 5月/ 南投縣","3,957","360","2","-","3","61","190","32","39","33","-","-","-","-","1,307","70","538","515","115","-","6","-","44","19","-","78","-","34","31","13","11","8","3","-","2,201","627"
"106年 5月/ 雲林縣","6,643","477","8","2","7","62","243","41","59","52","-","-","-","3","2,177","316","838","747","178","-","10","-","29","48","11","109","-","56","44","9","26","16","5","-","3,854","1,563"
"106年 5月/ 嘉義縣","4,749","357","10","1","5","68","168","33","42","29","-","-","1","-","1,172","70","485","453","93","-","-","-","23","48","-","79","-","39","35","5","29","5","19","-","3,112","1,418"
"106年 5月/ 屏東縣","8,729","699","7","3","9","175","289","52","93","71","-","-","-","-","2,754","196","1,118","1,021","276","-","14","-","78","41","10","182","-","93","78","11","25","12","11","-","5,069","1,712"
"106年 5月/ 臺東縣","3,147","271","6","8","4","45","140","29","26","12","-","-","-","1","937","88","343","335","120","-","1","-","18","32","-","50","-","25","23","2","52","45","6","-","1,837","210"
"106年 5月/ 花蓮縣","4,262","329","8","1","3","55","94","93","41","33","-","-","1","-","1,191","55","206","415","93","-","83","-","304","35","-","74","-","37","34","3","20","15","5","-","2,648","628"
"106年 5月/ 澎湖縣","1,120","72","-","-","2","23","32","7","6","2","-","-","-","-","357","23","149","135","31","-","2","-","-","17","-","7","-","4","1","2","3","-","2","-","681","281"
"106年 5月/ 基隆市","2,756","223","13","-","-","35","130","15","22","8","-","-","-","-","874","29","398","388","35","-","2","-","12","10","-","45","-","22","23","-","5","1","4","-","1,609","346"
"106年 5月/ 新竹市","2,877","222","1","-","8","38","68","34","42","31","-","-","-","-","1,186","52","571","452","86","-","1","-","12","12","-","79","-","39","34","6","30","13","16","-","1,360","80"
"106年 5月/ 嘉義市","2,666","162","1","-","-","29","81","14","19","18","-","-","-","-","827","47","369","326","51","-","1","-","17","16","-","36","-","18","16","2","7","-","5","-","1,634","682"
"106年 5月/ 金門縣","620","54","-","-","-","13","22","7","6","6","-","-","-","-","249","12","91","92","33","-","6","-","4","10","1","15","-","7","7","1","2","-","2","-","300","33"
"106年 5月/ 連江縣","70","5","-","-","-","-","4","-","1","-","-","-","-","-","21","3","6","6","4","-","-","-","2","-","-","1","-","1","-","-","-","-","-","-","43","20"
"106年 5月/ 基隆港","54","7","-","-","-","2","5","-","-","-","-","-","-","-","14","2","5","5","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33","14"
"106年 5月/ 臺中港","52","9","-","-","-","2","2","1","2","2","-","-","-","-","17","1","6","6","3","-","-","-","-","-","1","4","-","2","1","1","-","-","-","-","22","9"
"106年 5月/ 高雄港","71","6","-","-","-","1","2","1","1","1","-","-","-","-","32","3","10","9","6","-","1","-","1","2","-","2","-","1","1","-","-","-","-","-","31","8"
"106年 5月/ 花蓮港","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-"
"106年 6月/ 區域別總計","205,794","15,651","213","171","127","2,749","6,659","2,063","2,087","1,321","-","-","53","208","66,324","3,570","28,929","26,745","3,943","-","149","-","1,254","1,415","319","3,332","-","1,671","1,422","239","2,062","1,366","539","-","118,425","29,739"
"106年 6月/ 新北市","30,869","2,132","39","68","22","315","783","383","338","116","-","-","37","31","10,096","497","4,741","3,988","348","-","25","-","132","365","-","320","-","161","118","41","972","759","106","-","17,349","2,625"
"106年 6月/ 臺北市","18,848","1,631","8","11","19","236","763","235","238","104","-","-","-","17","5,937","443","2,524","2,520","202","-","1","-","57","184","6","273","-","140","108","25","282","181","87","-","10,725","892"
"106年 6月/ 桃園市","18,094","1,806","42","18","7","224","996","147","145","98","-","-","1","128","5,338","241","2,251","2,241","261","-","8","-","118","-","218","251","-","135","100","16","195","87","108","-","10,504","3,299"
"106年 6月/ 臺中市","26,925","1,859","33","33","10","410","646","242","270","214","-","-","1","-","8,717","259","3,913","3,631","569","-","8","-","229","81","27","435","-","221","193","21","47","7","33","-","15,867","6,372"
"106年 6月/ 臺南市","16,014","1,335","8","2","10","269","514","250","167","103","-","-","2","10","6,423","336","2,866","2,657","339","-","7","-","43","143","32","324","-","157","148","19","87","55","28","-","7,845","2,048"
"106年 6月/ 高雄市","28,182","1,564","7","3","10","351","443","314","248","180","-","-","5","3","9,067","409","4,050","3,687","457","-","20","-","208","236","-","399","-","194","177","28","134","124","3","-","17,018","1,177"
"106年 6月/ 宜蘭縣","3,924","321","4","1","4","30","160","30","50","42","-","-","-","-","1,292","59","562","464","126","-","9","-","36","31","5","103","-","53","45","5","6","2","4","-","2,202","621"
"106年 6月/ 新竹縣","3,828","307","6","5","5","49","126","44","43","29","-","-","-","-","1,296","51","549","523","105","-","10","-","10","48","-","81","-","42","35","4","25","13","12","-","2,119","640"
"106年 6月/ 苗栗縣","4,950","477","3","-","2","76","282","37","46","28","-","-","2","1","1,357","69","551","527","139","-","3","-","30","31","7","80","-","41","35","4","17","6","10","-","3,019","1,431"
"106年 6月/ 彰化縣","13,236","1,007","10","12","9","176","533","66","113","83","-","-","-","5","4,027","205","1,688","1,680","287","-","7","-","133","27","-","211","-","101","99","11","77","24","52","-","7,914","3,199"
"106年 6月/ 南投縣","4,295","395","2","4","5","59","202","23","53","46","-","-","1","-","1,382","74","578","539","140","-","3","-","37","11","-","106","-","48","52","6","20","4","16","-","2,392","670"
"106年 6月/ 雲林縣","6,503","480","8","1","1","76","217","39","71","64","-","-","-","3","2,004","290","744","698","154","-","8","-","34","63","13","130","-","65","53","12","31","24","7","-","3,858","1,554"
"106年 6月/ 嘉義縣","4,788","349","6","1","5","65","152","24","54","40","-","-","2","-","1,256","76","506","484","111","-","5","-","31","43","-","112","-","57","47","8","24","3","16","-","3,047","1,380"
