"消防緊急救護急救處置","總次數","呼吸道處置","口咽呼吸道","鼻咽呼吸道","抽吸","鼻管","面罩","非再呼吸型面罩","BVM","SGA","氣管內管","霧化吸入型面罩","哈姆立克法","其他","創傷處置","頸圈","清洗傷口","包紮止血","長背板固定","鏟式擔架固定","KED固定","骨折固定","夾板固定","抽吸式護木","其他","心肺復甦術","自動心肺復甦機","CPR","使用AED/不建議電擊","使用AED/電擊","藥物處置","靜脈輸液","口服葡萄糖","建議給藥","其他處置","保暖"
"102年 4月/ 苗栗縣","4,358","580","11","1","2","144","329","15","48","28","-","-","2","-","1,079","82","415","384","141","-","3","-","54","-","-","77","-","43","29","5","17","-","14","3","2,605","1,283"
"102年 4月/ 彰化縣","13,990","881","101","7","7","212","432","3","115","4","-","-","-","-","3,532","156","1,412","1,383","268","168","4","-","141","-","-","204","-","101","97","6","20","4","14","2","9,353","2,790"
"102年 4月/ 南投縣","5,180","388","33","5","11","66","214","10","42","6","-","-","-","1","1,049","76","402","403","113","-","4","-","51","-","-","87","-","45","39","3","12","4","5","3","3,644","1,000"
"102年 4月/ 雲林縣","7,197","539","42","2","5","83","319","11","60","3","-","-","1","13","1,721","274","631","590","146","-","7","-","73","-","-","111","-","57","48","6","15","7","7","1","4,811","1,418"
"102年 4月/ 嘉義縣","5,232","383","30","3","1","95","199","13","39","3","-","-","-","-","1,153","54","498","450","90","-","5","-","56","-","-","81","-","42","35","4","22","4","15","3","3,593","1,416"
"102年 4月/ 屏東縣","8,842","617","47","2","7","175","275","26","73","9","2","-","1","-","2,376","237","918","857","236","1","9","-","118","-","-","131","-","70","59","2","2","-","2","-","5,716","1,585"
"102年 4月/ 臺東縣","3,074","383","4","7","4","88","192","26","36","18","8","-","-","-","766","62","280","276","103","-","4","-","41","-","-","69","-","35","28","6","48","37","8","3","1,808","593"
"102年 4月/ 花蓮縣","3,990","259","18","1","4","42","103","46","39","6","-","-","-","-","817","86","306","284","91","2","4","-","44","-","-","56","-","28","26","2","9","7","1","1","2,849","601"
"102年 4月/ 澎湖縣","1,106","67","-","-","-","17","46","3","1","-","-","-","-","-","214","24","82","70","20","1","-","-","17","-","-","4","-","3","-","1","-","-","-","-","821","242"
"102年 4月/ 基隆市","3,272","224","31","-","4","61","83","10","34","-","-","-","1","-","645","22","277","271","42","-","8","-","25","-","-","59","-","29","26","4","5","-","5","-","2,339","555"
"102年 4月/ 新竹市","3,775","314","11","3","8","44","129","43","46","26","-","-","2","2","922","54","418","294","109","-","2","-","45","-","-","72","-","36","35","1","43","6","35","2","2,424","145"
